segment,label,media,frame,model,n_det_drone,top_drone_score,n_det_anyclass,top_any_score,top_any_class,top_cx,top_cy,top_w,top_h
pos_video_blm,drone,video,pos_video_blm_00_018.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_018.png,flyingobj,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_00_018.png,yolo11x,9,0.6323,9,0.6323,drone,971.6,740.1,530.8,398.3
pos_video_blm,drone,video,pos_video_blm_01_001.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_001.png,flyingobj,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_001.png,yolo11x,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_002.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_002.png,flyingobj,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_002.png,yolo11x,1,0.2593,1,0.2593,drone,1424.5,600.9,970.9,709.5
pos_video_blm,drone,video,pos_video_blm_01_003.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_003.png,flyingobj,0,0.0,4,0.5613,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_01_003.png,yolo11x,6,0.3191,6,0.3191,drone,1441.0,654.7,954.4,274.5
pos_video_blm,drone,video,pos_video_blm_01_004.png,v2_deployed,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_004.png,flyingobj,0,0.0,12,0.3438,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_01_004.png,yolo11x,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_005.png,v2_deployed,7,0.7646,7,0.7646,drone,112.1,1004.9,213.5,248.8
pos_video_blm,drone,video,pos_video_blm_01_005.png,flyingobj,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_005.png,yolo11x,5,0.3618,5,0.3618,drone,1423.3,352.3,971.6,546.8
pos_video_blm,drone,video,pos_video_blm_01_006.png,v2_deployed,10,0.6096,10,0.6096,drone,91.2,1069.0,182.1,373.2
pos_video_blm,drone,video,pos_video_blm_01_006.png,flyingobj,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_006.png,yolo11x,7,0.4256,7,0.4256,drone,1438.8,372.0,959.8,558.4
pos_video_blm,drone,video,pos_video_blm_01_007.png,v2_deployed,20,0.4162,20,0.4162,drone,1725.5,758.9,390.2,576.4
pos_video_blm,drone,video,pos_video_blm_01_007.png,flyingobj,0,0.0,4,0.3965,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_01_007.png,yolo11x,9,0.4361,9,0.4361,drone,1423.6,22.7,971.2,588.2
pos_video_blm,drone,video,pos_video_blm_01_008.png,v2_deployed,12,0.3719,12,0.3719,drone,1700.7,804.5,428.3,583.2
pos_video_blm,drone,video,pos_video_blm_01_008.png,flyingobj,0,0.0,4,0.3751,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_01_008.png,yolo11x,8,0.5447,8,0.5447,drone,1439.6,46.8,960.3,651.0
pos_video_blm,drone,video,pos_video_blm_01_009.png,v2_deployed,2,0.2532,2,0.2532,drone,1655.5,717.2,564.7,579.8
pos_video_blm,drone,video,pos_video_blm_01_009.png,flyingobj,0,0.0,0,0.0,,,,,
pos_video_blm,drone,video,pos_video_blm_01_009.png,yolo11x,2,0.3235,2,0.3235,drone,1441.6,31.6,954.8,629.1
pos_video_blm,drone,video,pos_video_blm_01_010.png,v2_deployed,7,0.375,7,0.375,drone,1776.2,893.6,288.7,408.7
pos_video_blm,drone,video,pos_video_blm_01_010.png,flyingobj,7,0.4946,11,0.4946,Drone,1742.9,906.4,56.5,45.4
pos_video_blm,drone,video,pos_video_blm_01_010.png,yolo11x,8,0.4018,8,0.4018,drone,1443.4,413.0,952.7,783.7
pos_video_blm,drone,video,pos_video_blm_01_011.png,v2_deployed,7,0.5604,7,0.5604,drone,1767.4,932.6,309.6,506.8
pos_video_blm,drone,video,pos_video_blm_01_011.png,flyingobj,0,0.0,3,0.4448,Airplane,,,,
pos_video_blm,drone,video,pos_video_blm_01_011.png,yolo11x,5,0.3783,5,0.3783,drone,1442.7,434.6,952.8,733.4
