fwd_cmd_m,y_off_cmd_m,gt_x,gt_y,gt_z,gt_range_m,bearing_deg,decoded,dec_range_m,decision_margin,iou,u_px,gt_cx,gt_cy,gt_w,gt_h,tag_cx,tag_cy,tag_w,tag_h,frame
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0041_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0042_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0043_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0044_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0045_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0046_r007.9.png
8.0,+0.0,0.0300,-0.2710,7.8800,7.8847,1.98,1,8.0794,116.784,0.9524,642.1,642.06,461.43,23.97,23.97,642.11,461.32,23.39,23.39,fwd008.0_y+0.0_0047_r007.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0048_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0049_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0050_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0051_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0052_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0053_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0054_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0055_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0056_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0057_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0058_r009.9.png
10.0,+0.0,0.0300,-0.2710,9.8800,9.8838,1.58,1,10.1407,111.130,0.9500,641.6,641.64,465.19,19.12,19.12,641.63,465.18,18.64,18.64,fwd010.0_y+0.0_0059_r009.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0060_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0061_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0062_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0063_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0064_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0065_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0066_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0067_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0068_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0069_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0070_r011.9.png
12.0,+0.0,0.0300,-0.2710,11.8800,11.8831,1.31,0,,,,641.4,641.36,467.68,15.90,15.90,nan,nan,nan,nan,fwd012.0_y+0.0_0071_r011.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0072_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0073_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0074_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0075_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0076_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0077_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0078_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0079_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0080_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0081_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0082_r013.9.png
14.0,+0.0,0.0300,-0.2710,13.8800,13.8827,1.13,0,,,,641.2,641.17,469.46,13.61,13.61,nan,nan,nan,nan,fwd014.0_y+0.0_0083_r013.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0084_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0085_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0086_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0087_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0088_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0089_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0090_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0091_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0092_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0093_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0094_r015.9.png
16.0,+0.0,0.0300,-0.2710,15.8800,15.8823,0.98,0,,,,641.0,641.02,470.79,11.90,11.90,nan,nan,nan,nan,fwd016.0_y+0.0_0095_r015.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0096_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0097_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0098_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0099_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0100_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0101_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0102_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0103_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0104_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0105_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0106_r017.9.png
18.0,+0.0,0.0300,-0.2710,17.8800,17.8821,0.87,0,,,,640.9,640.91,471.82,10.57,10.57,nan,nan,nan,nan,fwd018.0_y+0.0_0107_r017.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0108_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0109_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0110_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0111_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0112_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0113_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0114_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0115_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0116_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0117_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0118_r019.9.png
20.0,+0.0,0.0300,-0.2710,19.8800,19.8819,0.79,0,,,,640.8,640.81,472.64,9.51,9.51,nan,nan,nan,nan,fwd020.0_y+0.0_0119_r019.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0120_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0121_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0122_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0123_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0124_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0125_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0126_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0127_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0128_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0129_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0130_r021.9.png
22.0,+0.0,0.0300,-0.2710,21.8800,21.8817,0.71,0,,,,640.7,640.74,473.31,8.64,8.64,nan,nan,nan,nan,fwd022.0_y+0.0_0131_r021.9.png
24.0,+0.0,0.0300,-0.2710,23.8800,23.8816,0.65,0,,,,640.7,640.68,473.87,7.91,7.91,nan,nan,nan,nan,fwd024.0_y+0.0_0132_r023.9.png
24.0,+0.0,0.0300,-0.2710,23.8800,23.8816,0.65,0,,,,640.7,640.68,473.87,7.91,7.91,nan,nan,nan,nan,fwd024.0_y+0.0_0133_r023.9.png
24.0,+0.0,0.0300,-0.2710,23.8800,23.8816,0.65,0,,,,640.7,640.68,473.87,7.91,7.91,nan,nan,nan,nan,fwd024.0_y+0.0_0134_r023.9.png
24.0,+0.0,0.0300,-0.2710,23.8800,23.8816,0.65,0,,,,640.7,640.68,473.87,7.91,7.91,nan,nan,nan,nan,fwd024.0_y+0.0_0135_r023.9.png
